Month	WeekOfMonth	DayOfWeek	Make	AccidentArea	DayOfWeekClaimed	MonthClaimed	WeekOfMonthClaimed	Sex	MaritalStatus	Age	Fault	PolicyType	VehicleCategory	VehiclePrice	FraudFound	PolicyNumber	RepNumber	Deductible	DriverRating	Days:Policy-Accident	Days:Policy-Claim	PastNumberOfClaims	AgeOfVehicle	AgeOfPolicyHolder	PoliceReportFiled	WitnessPresent	AgentType	NumberOfSuppliments	AddressChange-Claim	NumberOfCars	Year	BasePolicy
Mar	3	Friday	Mazda	Urban	Tuesday	Mar	4	Male	Married	71	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	9940	1	400	1	more than 30	more than 30	2 to 4	more than 7	over 65	No	No	External	1 to 2	no change	1 vehicle	1995	Liability
Jul	2	Tuesday	Mazda	Urban	Tuesday	Aug	4	Male	Married	64	Policy Holder	Sedan - All Perils	Sedan	"more than 69,000"	No	9941	7	400	1	more than 30	more than 30	none	more than 7	51 to 65	No	No	External	3 to 5	no change	1 vehicle	1995	All Perils
Feb	2	Tuesday	Toyota	Urban	Friday	Feb	3	Female	Single	39	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	9942	4	400	1	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	1 to 2	no change	1 vehicle	1995	Collision
Jul	5	Friday	Pontiac	Urban	Friday	Aug	1	Male	Married	40	Policy Holder	Sedan - All Perils	Sedan	"more than 69,000"	No	9943	8	400	2	more than 30	more than 30	none	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1995	All Perils
Sep	4	Sunday	Mazda	Urban	Wednesday	Oct	1	Male	Married	32	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	9944	2	400	3	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	3 to 5	no change	1 vehicle	1995	All Perils
Nov	2	Thursday	Toyota	Urban	Tuesday	Nov	3	Male	Single	33	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	9945	10	400	1	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1995	All Perils
Nov	1	Saturday	Ford	Urban	Wednesday	Nov	2	Male	Married	30	Third Party	Sedan - All Perils	Sedan	"40,000 to 59,000"	Yes	9946	5	500	4	more than 30	more than 30	2 to 4	7 years	31 to 35	No	No	External	1 to 2	2 to 3 years	1 vehicle	1995	All Perils
Feb	2	Tuesday	Honda	Urban	Wednesday	Apr	1	Female	Married	34	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	Yes	9947	7	400	1	more than 30	more than 30	more than 4	7 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1995	Collision
Feb	2	Tuesday	Toyota	Urban	Tuesday	Feb	4	Male	Married	30	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	9948	16	400	3	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1995	All Perils
Jun	3	Sunday	Honda	Urban	Monday	Jun	3	Male	Single	21	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	9949	13	400	1	more than 30	more than 30	1	5 years	26 to 30	No	No	External	more than 5	no change	1 vehicle	1995	All Perils
Apr	2	Sunday	Mazda	Urban	Monday	Sep	3	Male	Married	42	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	9950	13	400	1	more than 30	more than 30	1	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1995	Liability
Mar	3	Thursday	Saab	Rural	Wednesday	Mar	4	Male	Single	44	Policy Holder	Sedan - All Perils	Sedan	"more than 69,000"	No	9951	1	400	3	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	more than 5	no change	1 vehicle	1995	All Perils
Jan	4	Tuesday	Honda	Urban	Wednesday	May	3	Male	Single	26	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	9952	3	700	3	more than 30	more than 30	more than 4	7 years	31 to 35	Yes	No	External	more than 5	no change	1 vehicle	1995	Collision
Jun	1	Saturday	Honda	Urban	Tuesday	Jun	2	Male	Divorced	54	Policy Holder	Sedan - Collision	Sedan	"less than 20,000"	No	9953	12	400	1	more than 30	more than 30	1	7 years	41 to 50	No	No	External	none	no change	1 vehicle	1995	Collision
Jul	1	Wednesday	Chevrolet	Urban	Tuesday	Jul	2	Male	Married	26	Third Party	Sedan - All Perils	Sedan	"less than 20,000"	No	9954	3	400	1	more than 30	more than 30	1	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1995	All Perils
Jun	2	Thursday	Mazda	Rural	Friday	Jun	2	Male	Married	55	Third Party	Sedan - Collision	Sedan	"30,000 to 39,000"	No	9955	11	400	4	more than 30	more than 30	none	more than 7	41 to 50	No	No	External	more than 5	4 to 8 years	2 vehicles	1995	Collision
Dec	4	Sunday	Pontiac	Urban	Wednesday	Dec	4	Male	Married	51	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	9956	3	400	1	more than 30	more than 30	more than 4	more than 7	41 to 50	No	No	External	3 to 5	no change	1 vehicle	1995	Liability
Mar	1	Saturday	Pontiac	Urban	Monday	Mar	2	Male	Married	29	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	9957	9	400	1	more than 30	more than 30	more than 4	6 years	31 to 35	No	No	External	3 to 5	no change	1 vehicle	1995	Liability
Feb	3	Thursday	Pontiac	Urban	Friday	Feb	3	Male	Married	76	Third Party	Sedan - All Perils	Sedan	"less than 20,000"	No	9958	13	400	3	more than 30	more than 30	none	7 years	over 65	No	Yes	External	none	no change	1 vehicle	1995	All Perils
Nov	2	Wednesday	Ford	Urban	Monday	Nov	2	Male	Married	60	Policy Holder	Sedan - Liability	Sport	"more than 69,000"	No	9959	11	400	1	more than 30	more than 30	2 to 4	6 years	51 to 65	No	No	External	more than 5	no change	1 vehicle	1995	Liability
Aug	1	Sunday	Toyota	Urban	Monday	Aug	2	Male	Married	32	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	9960	12	400	1	more than 30	more than 30	2 to 4	5 years	31 to 35	No	No	External	none	no change	1 vehicle	1995	Liability
Jan	2	Saturday	Chevrolet	Urban	Monday	Jan	2	Male	Single	58	Third Party	Sedan - All Perils	Sedan	"more than 69,000"	No	9961	13	400	1	more than 30	more than 30	1	more than 7	51 to 65	No	No	External	3 to 5	no change	1 vehicle	1995	All Perils
Dec	3	Thursday	Mazda	Urban	Wednesday	Dec	4	Male	Single	27	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	9962	15	400	3	more than 30	more than 30	1	6 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1995	Collision
Dec	1	Saturday	Toyota	Rural	Monday	Dec	2	Female	Married	27	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	9963	4	400	3	more than 30	more than 30	1	6 years	31 to 35	No	No	External	3 to 5	no change	1 vehicle	1995	Collision
May	4	Thursday	Mazda	Urban	Friday	May	4	Male	Single	33	Third Party	Sedan - Liability	Sport	"20,000 to 29,000"	No	9964	14	400	4	more than 30	more than 30	none	6 years	31 to 35	No	No	External	none	no change	3 to 4	1995	Liability
May	4	Wednesday	Toyota	Urban	Thursday	Jun	1	Male	Married	55	Policy Holder	Sedan - Collision	Sedan	"less than 20,000"	No	9965	5	400	4	more than 30	more than 30	1	3 years	41 to 50	No	No	External	1 to 2	no change	1 vehicle	1995	Collision
May	5	Friday	Chevrolet	Urban	Wednesday	Jan	1	Male	Single	24	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	9966	1	400	3	more than 30	more than 30	1	5 years	26 to 30	No	No	External	none	no change	1 vehicle	1995	Collision
Jul	4	Sunday	Toyota	Urban	Tuesday	Aug	4	Male	Married	28	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	9967	6	400	3	more than 30	more than 30	none	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1995	Collision
Jul	4	Monday	Pontiac	Urban	Tuesday	Jul	4	Male	Married	54	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	9968	3	400	1	more than 30	more than 30	more than 4	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1995	Liability
Sep	2	Thursday	Toyota	Urban	Tuesday	Sep	2	Female	Married	35	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	9969	11	400	1	more than 30	more than 30	none	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1995	Collision
Sep	3	Saturday	Toyota	Urban	Monday	Sep	3	Male	Married	50	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	9970	9	400	1	more than 30	more than 30	1	more than 7	41 to 50	No	No	External	more than 5	no change	1 vehicle	1995	Liability
Sep	3	Friday	Pontiac	Urban	Wednesday	Sep	4	Male	Married	33	Third Party	Sedan - Liability	Sport	"20,000 to 29,000"	No	9971	5	400	1	more than 30	more than 30	more than 4	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1995	Liability
Sep	4	Thursday	Mazda	Urban	Monday	Oct	5	Male	Married	28	Policy Holder	Sedan - Collision	Sedan	"40,000 to 59,000"	No	9972	15	400	4	more than 30	more than 30	2 to 4	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1995	Collision
Sep	4	Thursday	Pontiac	Urban	Monday	Sep	4	Male	Married	31	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	9973	5	400	3	more than 30	more than 30	1	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1995	All Perils
Oct	2	Tuesday	Toyota	Urban	Wednesday	Oct	2	Male	Divorced	49	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	9974	13	400	3	more than 30	more than 30	none	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1995	All Perils
Nov	5	Wednesday	Pontiac	Urban	Thursday	Dec	1	Male	Single	45	Third Party	Sedan - Liability	Sport	"20,000 to 29,000"	No	9975	2	400	3	more than 30	more than 30	more than 4	6 years	36 to 40	No	No	External	more than 5	no change	1 vehicle	1995	Liability
Feb	2	Wednesday	Chevrolet	Urban	Monday	Feb	2	Male	Married	27	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	9976	15	400	2	more than 30	more than 30	more than 4	7 years	31 to 35	No	No	External	none	4 to 8 years	2 vehicles	1995	Liability
Dec	2	Monday	Toyota	Urban	Monday	Dec	2	Female	Single	22	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	9977	13	400	2	more than 30	more than 30	none	5 years	26 to 30	No	No	External	more than 5	no change	1 vehicle	1995	Liability
Jan	1	Tuesday	VW	Urban	Monday	Jan	2	Male	Married	34	Third Party	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	9978	14	400	2	more than 30	more than 30	none	4 years	31 to 35	Yes	No	External	3 to 5	no change	1 vehicle	1995	All Perils
Jan	1	Thursday	Pontiac	Urban	Monday	Jan	2	Male	Single	21	Third Party	Sedan - Collision	Sedan	"30,000 to 39,000"	No	9979	6	400	3	more than 30	more than 30	1	5 years	26 to 30	No	No	External	1 to 2	no change	1 vehicle	1995	Collision
May	2	Friday	Pontiac	Urban	Friday	May	3	Male	Single	31	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	9980	8	400	3	more than 30	more than 30	1	5 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1995	All Perils
May	2	Friday	Chevrolet	Urban	Friday	May	3	Male	Single	38	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	9981	10	400	1	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	more than 5	no change	1 vehicle	1995	Liability
May	2	Friday	Honda	Urban	Monday	May	3	Male	Married	32	Third Party	Sedan - All Perils	Sedan	"less than 20,000"	No	9982	5	400	2	more than 30	more than 30	2 to 4	7 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1995	All Perils
May	3	Tuesday	Pontiac	Urban	Thursday	May	3	Male	Married	41	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	9983	13	700	1	more than 30	more than 30	none	more than 7	36 to 40	No	No	External	more than 5	no change	1 vehicle	1995	All Perils
May	5	Wednesday	Pontiac	Urban	Thursday	Jun	1	Male	Married	60	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	9984	2	400	3	more than 30	more than 30	none	6 years	51 to 65	No	No	External	none	no change	1 vehicle	1995	Collision
Jun	1	Friday	Chevrolet	Urban	Monday	Jun	4	Female	Single	18	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	9985	12	400	4	more than 30	more than 30	2 to 4	3 years	21 to 25	No	No	External	3 to 5	no change	1 vehicle	1995	Liability
Feb	2	Wednesday	Ford	Urban	Thursday	Feb	3	Male	Married	51	Policy Holder	Utility - All Perils	Utility	"more than 69,000"	Yes	9986	2	400	2	more than 30	more than 30	more than 4	7 years	41 to 50	No	No	External	none	no change	1 vehicle	1995	All Perils
Sep	4	Thursday	Pontiac	Urban	Monday	Sep	4	Male	Married	54	Policy Holder	Sedan - All Perils	Sedan	"less than 20,000"	No	9987	8	400	2	more than 30	more than 30	2 to 4	more than 7	41 to 50	Yes	No	External	more than 5	no change	1 vehicle	1995	All Perils
Dec	3	Friday	Ford	Urban	Monday	Dec	3	Male	Single	26	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	9988	15	400	3	more than 30	more than 30	2 to 4	7 years	31 to 35	No	No	External	none	no change	1 vehicle	1995	Liability
Dec	4	Monday	Pontiac	Urban	Wednesday	Dec	4	Male	Single	26	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	9989	5	400	3	more than 30	more than 30	more than 4	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1995	Liability
Dec	5	Friday	Pontiac	Urban	Friday	Dec	5	Male	Married	57	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	9990	10	400	2	more than 30	more than 30	1	more than 7	51 to 65	No	No	External	none	no change	1 vehicle	1995	Collision
Dec	4	Wednesday	Honda	Urban	Wednesday	Dec	4	Male	Single	27	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	9991	1	400	2	more than 30	more than 30	none	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1995	Liability
Dec	4	Monday	Mazda	Rural	Tuesday	Dec	4	Male	Single	22	Third Party	Sedan - Liability	Sport	"20,000 to 29,000"	No	9992	3	400	4	more than 30	more than 30	2 to 4	5 years	26 to 30	Yes	No	External	1 to 2	no change	1 vehicle	1995	Liability
Dec	3	Tuesday	Mazda	Urban	Wednesday	Dec	3	Male	Married	31	Third Party	Sport - Collision	Sport	"more than 69,000"	No	9993	15	400	3	more than 30	more than 30	none	6 years	31 to 35	No	No	External	3 to 5	no change	1 vehicle	1995	Collision
Sep	3	Tuesday	Ford	Urban	Wednesday	Oct	1	Male	Married	51	Policy Holder	Utility - All Perils	Utility	"more than 69,000"	No	9994	9	400	4	more than 30	more than 30	2 to 4	6 years	41 to 50	No	No	External	more than 5	no change	1 vehicle	1995	All Perils
Aug	5	Thursday	Ford	Urban	Friday	Sep	5	Male	Married	53	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	9995	13	400	4	more than 30	more than 30	2 to 4	7 years	41 to 50	No	No	External	more than 5	no change	1 vehicle	1995	All Perils
Feb	2	Thursday	Pontiac	Urban	Friday	Feb	2	Male	Single	40	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	9996	7	400	1	more than 30	more than 30	1	more than 7	36 to 40	No	No	External	more than 5	no change	1 vehicle	1995	All Perils
Feb	2	Thursday	Pontiac	Urban	Tuesday	Feb	3	Male	Single	30	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	Yes	9997	9	500	2	more than 30	more than 30	more than 4	6 years	31 to 35	No	No	External	more than 5	2 to 3 years	2 vehicles	1995	Collision
May	5	Tuesday	Toyota	Urban	Tuesday	May	5	Male	Married	36	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	9998	1	400	4	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	1 to 2	no change	1 vehicle	1995	Liability
May	5	Monday	Chevrolet	Urban	Tuesday	May	5	Male	Married	33	Third Party	Sedan - Collision	Sedan	"30,000 to 39,000"	No	9999	10	400	1	more than 30	more than 30	2 to 4	7 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1995	Collision
May	2	Saturday	Accura	Urban	Thursday	Jun	3	Male	Married	46	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	10000	16	400	2	more than 30	more than 30	1	7 years	41 to 50	No	No	External	none	no change	1 vehicle	1995	All Perils
Apr	3	Saturday	Pontiac	Rural	Thursday	Dec	4	Male	Married	44	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	10001	8	400	3	more than 30	more than 30	2 to 4	more than 7	36 to 40	No	No	External	none	no change	1 vehicle	1995	All Perils
Jan	1	Friday	Toyota	Urban	Wednesday	Jan	4	Male	Married	36	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	10002	12	400	4	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1995	All Perils
Jan	1	Friday	Mazda	Urban	Monday	Jan	4	Male	Single	27	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	10003	5	400	1	more than 30	more than 30	2 to 4	5 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1995	All Perils
Jan	1	Monday	Pontiac	Urban	Monday	Jan	3	Male	Married	54	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	10004	9	400	3	more than 30	more than 30	more than 4	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1995	Liability
Dec	1	Friday	Toyota	Urban	Wednesday	Dec	2	Male	Married	58	Policy Holder	Sedan - Collision	Sedan	"less than 20,000"	No	10005	1	400	4	more than 30	more than 30	1	more than 7	51 to 65	No	No	External	1 to 2	no change	3 to 4	1995	Collision
Nov	2	Tuesday	Pontiac	Urban	Tuesday	Nov	2	Male	Married	42	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	10006	2	400	4	more than 30	more than 30	more than 4	more than 7	36 to 40	No	No	External	3 to 5	no change	1 vehicle	1995	Liability
Oct	2	Monday	Chevrolet	Urban	Monday	Oct	2	Male	Married	36	Policy Holder	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	10007	1	400	1	more than 30	more than 30	none	more than 7	36 to 40	No	No	External	none	no change	1 vehicle	1995	All Perils
Sep	5	Thursday	Pontiac	Urban	Tuesday	Oct	1	Male	Married	41	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	10008	14	400	4	more than 30	more than 30	1	more than 7	36 to 40	No	No	External	none	no change	1 vehicle	1995	Collision
Sep	4	Tuesday	Pontiac	Urban	Tuesday	Sep	4	Female	Single	27	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	10009	1	400	1	more than 30	more than 30	2 to 4	7 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1995	Collision
Sep	4	Tuesday	Pontiac	Urban	Tuesday	Sep	4	Male	Married	41	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	10010	9	400	1	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	more than 5	no change	1 vehicle	1995	Liability
Sep	1	Monday	Mazda	Urban	Tuesday	Sep	1	Male	Married	60	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	10011	10	400	2	more than 30	more than 30	none	more than 7	51 to 65	No	No	External	more than 5	1 year	1 vehicle	1995	Collision
Aug	4	Saturday	Pontiac	Urban	Tuesday	Aug	5	Female	Single	30	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	10012	7	400	2	more than 30	more than 30	1	6 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1995	Collision
Feb	2	Wednesday	VW	Urban	Tuesday	Mar	1	Male	Single	53	Third Party	Sedan - Liability	Sport	"30,000 to 39,000"	No	10013	5	400	2	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1995	Liability
Jan	2	Thursday	Mazda	Urban	Friday	Jan	2	Male	Single	50	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	10014	2	700	4	more than 30	more than 30	none	more than 7	41 to 50	No	No	External	3 to 5	no change	1 vehicle	1995	Liability
Mar	3	Sunday	Mazda	Urban	Wednesday	Mar	4	Male	Married	32	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	10015	12	400	3	more than 30	more than 30	2 to 4	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1995	Liability
Feb	2	Friday	Toyota	Urban	Thursday	Feb	3	Female	Married	33	Policy Holder	Sedan - All Perils	Sedan	"more than 69,000"	Yes	10016	14	400	3	more than 30	more than 30	2 to 4	7 years	31 to 35	No	No	External	1 to 2	no change	1 vehicle	1995	All Perils
Apr	3	Wednesday	Pontiac	Rural	Wednesday	Apr	3	Male	Single	26	Third Party	Sedan - All Perils	Sedan	"20,000 to 29,000"	No	10017	7	400	1	more than 30	more than 30	2 to 4	5 years	31 to 35	No	No	External	3 to 5	no change	1 vehicle	1995	All Perils
Oct	1	Friday	Pontiac	Urban	Friday	Oct	1	Male	Single	18	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	10018	2	400	4	more than 30	more than 30	more than 4	2 years	21 to 25	No	No	External	more than 5	4 to 8 years	2 vehicles	1995	Liability
Apr	1	Monday	Pontiac	Urban	Friday	Apr	4	Male	Married	36	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	10019	16	400	4	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1995	Liability
Mar	5	Friday	Toyota	Urban	Thursday	Apr	1	Male	Married	53	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	10020	5	400	3	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1995	Collision
Mar	5	Friday	Chevrolet	Urban	Tuesday	Jul	2	Male	Single	41	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	10021	1	400	2	more than 30	more than 30	more than 4	7 years	36 to 40	No	No	External	3 to 5	no change	1 vehicle	1995	Liability
Apr	2	Saturday	Honda	Urban	Monday	Apr	2	Male	Single	0	Policy Holder	Sedan - Liability	Sport	"more than 69,000"	No	10022	14	400	4	more than 30	more than 30	more than 4	new	16 to 17	No	No	External	none	no change	1 vehicle	1995	Liability
Apr	5	Saturday	Pontiac	Urban	Wednesday	May	2	Male	Married	68	Policy Holder	Sedan - Collision	Sedan	"more than 69,000"	No	10023	15	400	3	more than 30	more than 30	2 to 4	6 years	over 65	No	No	External	none	no change	1 vehicle	1995	Collision
Oct	1	Saturday	Toyota	Urban	Thursday	Oct	1	Male	Married	54	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	10024	12	400	4	more than 30	more than 30	1	more than 7	41 to 50	No	No	External	more than 5	no change	1 vehicle	1995	Liability
Nov	1	Sunday	Chevrolet	Urban	Wednesday	Nov	2	Male	Married	54	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	10025	16	400	4	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	more than 5	no change	1 vehicle	1995	All Perils
Oct	4	Friday	Accura	Urban	Tuesday	Jan	4	Male	Married	37	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	10026	12	400	2	more than 30	more than 30	2 to 4	more than 7	36 to 40	No	No	External	none	no change	1 vehicle	1995	Liability
Jan	3	Monday	Mazda	Urban	Wednesday	Jan	3	Male	Single	26	Policy Holder	Sedan - Collision	Sedan	"30,000 to 39,000"	No	10027	3	400	1	more than 30	more than 30	1	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1995	Collision
Jan	3	Monday	Pontiac	Urban	Monday	Jan	3	Male	Married	39	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	10028	1	400	1	more than 30	more than 30	more than 4	more than 7	36 to 40	No	No	External	1 to 2	no change	1 vehicle	1995	All Perils
Nov	4	Saturday	Pontiac	Urban	Wednesday	Dec	2	Male	Married	43	Policy Holder	Sedan - Liability	Sport	"30,000 to 39,000"	No	10029	10	400	4	more than 30	more than 30	1	7 years	36 to 40	No	No	External	more than 5	no change	1 vehicle	1995	Liability
Aug	3	Saturday	Honda	Urban	Monday	Aug	4	Male	Single	26	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	No	10030	1	400	3	more than 30	more than 30	2 to 4	5 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1995	Collision
Feb	2	Friday	Toyota	Urban	Friday	Feb	3	Male	Married	72	Policy Holder	Sedan - Collision	Sedan	"20,000 to 29,000"	Yes	10031	6	400	2	more than 30	more than 30	2 to 4	more than 7	over 65	Yes	No	External	1 to 2	no change	1 vehicle	1995	Collision
Feb	2	Friday	Toyota	Urban	Saturday	Feb	2	Male	Single	27	Policy Holder	Sedan - All Perils	Sedan	"less than 20,000"	Yes	10032	9	400	2	none	more than 30	none	6 years	31 to 35	No	No	External	none	no change	1 vehicle	1995	All Perils
Apr	1	Friday	Mazda	Urban	Friday	Apr	4	Female	Married	35	Policy Holder	Sedan - Liability	Sport	"20,000 to 29,000"	No	10033	5	400	1	more than 30	more than 30	more than 4	6 years	31 to 35	No	No	External	more than 5	no change	1 vehicle	1995	Liability
May	4	Monday	Toyota	Urban	Thursday	Jun	1	Male	Married	48	Third Party	Sedan - All Perils	Sedan	"less than 20,000"	No	10034	13	400	2	more than 30	more than 30	1	more than 7	41 to 50	No	No	External	none	no change	1 vehicle	1995	All Perils
Jun	1	Wednesday	Chevrolet	Urban	Thursday	Jun	1	Male	Married	49	Policy Holder	Sedan - All Perils	Sedan	"30,000 to 39,000"	No	10035	16	400	2	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	1 to 2	no change	1 vehicle	1995	All Perils
May	5	Monday	Pontiac	Urban	Friday	Jun	1	Male	Married	55	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	10036	8	400	3	more than 30	more than 30	2 to 4	7 years	41 to 50	No	No	External	more than 5	no change	1 vehicle	1995	Collision
Aug	3	Tuesday	Mazda	Urban	Thursday	Aug	3	Male	Married	41	Third Party	Sedan - Liability	Sport	"40,000 to 59,000"	No	10037	15	400	4	more than 30	more than 30	2 to 4	7 years	36 to 40	No	No	External	none	no change	1 vehicle	1995	Liability
Feb	2	Saturday	Mazda	Urban	Wednesday	Feb	3	Male	Married	47	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	10038	5	400	3	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	1 to 2	no change	1 vehicle	1995	Collision
Aug	3	Friday	Pontiac	Urban	Friday	Aug	3	Female	Single	40	Third Party	Sedan - Collision	Sedan	"20,000 to 29,000"	No	10039	1	400	2	more than 30	more than 30	2 to 4	5 years	36 to 40	No	No	External	3 to 5	4 to 8 years	2 vehicles	1995	Collision
Oct	5	Saturday	Honda	Urban	Wednesday	Nov	1	Male	Married	54	Policy Holder	Sport - Collision	Sport	"more than 69,000"	No	10040	8	400	2	more than 30	more than 30	2 to 4	more than 7	41 to 50	No	No	External	more than 5	no change	1 vehicle	1995	Collision
Nov	4	Tuesday	Chevrolet	Urban	Friday	Jan	3	Male	Married	36	Policy Holder	Utility - All Perils	Utility	"more than 69,000"	No	10041	11	400	4	more than 30	more than 30	none	more than 7	36 to 40	No	No	External	none	no change	1 vehicle	1995	All Perils
